,location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,CFR,GHSI,WGI,ï..iso_code,continent,Obesity_rate,RS
70,Romania,ROU,5/15/2023,47,0,0,0,0,0,0,2.391,0,0,0,0,0,45.8,0.46,ROU,Europe,22.5,NA
75,Slovenia,SVN,5/15/2023,47,0,0,0,0,0,0,22.171,0,0,0,0,0,67.2,0.99,SVN,Europe,20.2,82
42,Honduras,HND,5/15/2023,44,0,0,0,0.29,0,0,4.217,0.028,0,0,0,0,27.6,-0.51,HND,North America,21.4,NA
32,Finland,FIN,5/15/2023,42,0,0,0,0,0,0,7.58,0,0,0,0,0,68.7,1.61,FIN,Europe,22.2,86
73,Serbia,SRB,5/15/2023,40,0,0,0,0,0,0,5.821,0,0,0,0,0,52.3,NA,SRB,Europe,21.5,55
54,Malta,MLT,5/15/2023,34,0,0,0,0,0,0,63.755,0,0,0,0,0,37.3,1.12,MLT,Europe,28.9,NA
22,Croatia,HRV,5/15/2023,33,0,0,0,0,0,0,8.188,0,0,0,0,0,53.3,0.5,HRV,Europe,24.4,NA
16,Central African Republic,CAF,5/15/2023,30,1,0,0,0,0,0,5.377,0,0,0.17924,0,3.333333333,27.3,-1.19, , ,7.5,26
48,Jamaica,JAM,5/15/2023,21,0,0,0,0,0,0,7.427,0,0,0,0,0,29,0.62,JAM,North America,24.7,NA
14,Cameroon,CMR,5/15/2023,20,3,0,0,0.29,0,0,0.716,0.01,0,0.10747,0,15,34.4,-1.1,CMR,Africa,11.4,38
85,Uruguay,URY,5/15/2023,19,0,0,0,0,0,0,5.551,0,0,0,0,0,41.3,1.21,URY,South America,27.9,NA
44,Iceland,ISL,5/15/2023,16,0,0,0,0,0,0,42.907,0,0,0,0,0,46.3,1.41,ISL,Europe,21.9,NA
